line_no,FAIL_CODE,lot_no,sold_to,qty_mt,reason
1,QTY_EXCEEDS_AVAILABLE,1126021635,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021635: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
2,QTY_EXCEEDS_AVAILABLE,1126021636,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021636: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
3,QTY_EXCEEDS_AVAILABLE,1126021637,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021637: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
4,QTY_EXCEEDS_AVAILABLE,1126021646,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021646: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
5,QTY_EXCEEDS_AVAILABLE,1126021647,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021647: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
6,QTY_EXCEEDS_AVAILABLE,1126021651,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021651: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
7,QTY_EXCEEDS_AVAILABLE,1126021652,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021652: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
8,QTY_EXCEEDS_AVAILABLE,1126021653,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021653: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
9,QTY_EXCEEDS_AVAILABLE,1126021654,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021654: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
10,QTY_EXCEEDS_AVAILABLE,1126021655,AAA BATTERY,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021655: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
11,QTY_EXCEEDS_AVAILABLE,1126021668,CATL KOREA,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021668: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
12,QTY_EXCEEDS_AVAILABLE,1126021714,LG ENERGY SOLUTION,5.001,[QTY_EXCEEDS_AVAILABLE] 1126021714: 요청 11개 > 가용 10개 — oversell 방지 HARD-STOP (Allocation 수정 또는 추가 입고 후 재시도)
